id,name,genres
06HL4z0CvFAxyc27GXpf02,Taylor Swift,pop
1RyvyyTE3xzB2ZywiAwp0i,Future,"atl hip hop, hip hop, rap, southern hip hop, trap"
40ZNYROS4zLfyyBSs2PGe2,Zach Bryan,classic oklahoma country
0Y5tJX1MQlPlqiwlOH1tJY,Travis Scott,"rap, slap house"
0iEtIxbK0KxaSlF7G42ZOp,Metro Boomin,rap
5K4W6rqBFWDnAN6FQUkS6x,Kanye West,"chicago rap, hip hop, rap"
246dkjvS1zLTtiykXe5h60,Post Malone,"dfw rap, melodic rap, pop, rap"
1Xyo4u8uXC1ZmMpatF05PJ,The Weeknd,"canadian contemporary r&b, canadian pop, pop"
4q3ewBCX7sLwd24euuV69X,Bad Bunny,"reggaeton, trap latino, urbano latino"
1URnnhqYAYcrqrcwql10ft,21 Savage,"atl hip hop, hip hop, rap"
7tYKF4w9nC0nq9CsPZTHyP,SZA,"pop, r&b, rap"
66CXWjxzNUsdJxJ2JdwvnR,Ariana Grande,pop
1VPmR4DJC1PlOtd0IADAO0,$uicideboy$,"cloud rap, dark trap, new orleans rap, underground hip hop"
718COspgdWOnwOFpJHRZHS,Luke Combs,"contemporary country, country"
6l3HvQ5sa6mXTsMTB19rO5,J. Cole,"conscious hip hop, hip hop, north carolina hip hop, rap"
699OTQXzgjhIYAHMy9RyPD,Playboi Carti,"atl hip hop, plugg, pluggnb, rage rap, rap"
5pKCCKE2ajJHZ9KAiaK11H,Rihanna,"barbadian pop, pop, urban contemporary"
4MCBfE4596Uoi2O4DtmEMz,Juice WRLD,"chicago rap, melodic rap, rap"
00FQb4jTyendYWaN8pK0wa,Lana Del Rey,"art pop, pop"
5f7VJjfbwm532GiveGC0ZK,Lil Baby,"atl hip hop, atl trap, rap, trap"
6vWDO969PvNqNYHIOW5v0m,Beyoncé,"pop, r&b"
2RQXRUsr4IW1f3mKyKsy4B,Noah Kahan,pov: indie
15UsOTVnJzReFVN1VCnxy4,XXXTENTACION,"emo rap, miami hip hop, rap"
1McMsnEElThX1knmY4oliG,Olivia Rodrigo,pop
2h93pZq0e7k5yf4dywlkpM,Frank Ocean,"lgbtq+ hip hop, neo soul"
2FXC3k01G6Gw61bmprjgqS,Hozier,"irish singer-songwriter, modern rock, pov: indie"
7Gi6gjaWy3DxyilpF1a8Is,Junior H,"corrido, corridos tumbados, musica mexicana, sad sierreno, sierreno"
0ys2OFYzWYB5hRDLCsBqxt,Fuerza Regida,"corrido, corridos tumbados, sad sierreno, sierreno"
0hCNtLu0JehylgoiP8L4Gh,Nicki Minaj,"hip pop, pop, queens hip hop, rap"
0du5cEVh5yTK9QJze8zA0C,Bruno Mars,"dance pop, pop"
3tlXnStJ1fFhdScmQeLpuG,Brent Faiyaz,"r&b, rap"
7wlFDEWiM5OoIAt8RSli8b,YoungBoy Never Broke Again,"baton rouge rap, rap"
